award,recipient,team,category
Champion,Argentina,Argentina,Team
Runner-up,France,France,Team
Third Place,Croatia,Croatia,Team
Fourth Place,Morocco,Morocco,Team
Golden Ball,Lionel Messi,Argentina,Individual
Silver Ball,Kylian Mbappe,France,Individual
Bronze Ball,Luka Modric,Croatia,Individual
Golden Boot,Kylian Mbappe,France,Individual
Silver Boot,Lionel Messi,Argentina,Individual
Bronze Boot,Olivier Giroud,France,Individual
Golden Glove,Emiliano Martinez,Argentina,Individual
Young Player Award,Enzo Fernandez,Argentina,Individual
FIFA Fair Play Award,England,England,Team
