team,player,position,squad_number,appeared,matches_played,matches_started,goals,own_goals,assists
Argentina,Lionel Messi,forward,10,yes,7,7,7,0,3
Argentina,Julián Álvarez,forward,9,yes,7,5,4,0,0
Argentina,Ángel Di María,forward,11,yes,5,4,1,0,0
Argentina,Alexis Mac Allister,midfielder,20,yes,6,6,1,0,0
Argentina,Enzo Fernández,midfielder,24,yes,7,5,1,1,0
Argentina,Nahuel Molina,defender,26,yes,7,6,1,0,0
Argentina,Franco Armani,goal keeper,1,no,0,0,0,0,0
Argentina,Juan Foyth,defender,2,yes,1,0,0,0,0
Argentina,Nicolás Tagliafico,defender,3,yes,6,3,0,0,0
Argentina,Gonzalo Montiel,defender,4,yes,4,1,0,0,0
Argentina,Leandro Paredes,midfielder,5,yes,5,2,0,0,0
Argentina,Germán Pezzella,defender,6,yes,3,0,0,0,0
Argentina,Rodrigo De Paul,midfielder,7,yes,7,7,0,0,0
Argentina,Marcos Acuña,midfielder,8,yes,6,4,0,0,0
Argentina,Gerónimo Rulli,goal keeper,12,no,0,0,0,0,0
Argentina,Cristian Romero,defender,13,yes,7,6,0,0,0
Argentina,Exequiel Palacios,midfielder,14,yes,3,0,0,0,0
Argentina,Ángel Correa,forward,15,yes,1,0,0,0,0
Argentina,Thiago Almada,midfielder,16,yes,1,0,0,0,0
Argentina,Papu Gómez,midfielder,17,yes,2,2,0,0,0
Argentina,Guido Rodríguez,midfielder,18,yes,1,1,0,0,0
Argentina,Nicolás Otamendi,defender,19,yes,7,7,0,0,0
Argentina,Paulo Dybala,forward,21,yes,2,0,0,0,0
Argentina,Lautaro Martínez,forward,22,yes,6,2,0,0,0
Argentina,Emiliano Martínez,goal keeper,23,yes,7,7,0,0,0
Argentina,Lisandro Martínez,defender,25,yes,5,2,0,0,0
Australia,Mathew Leckie,forward,7,yes,4,4,1,0,0
Australia,Mitchell Duke,forward,15,yes,4,4,1,0,0
Australia,Craig Goodwin,forward,23,yes,4,3,1,0,0
Australia,Mathew Ryan,goal keeper,1,yes,4,4,0,0,0
Australia,Miloš Degenek,defender,2,yes,4,2,0,0,0
Australia,Nathaniel Atkinson,defender,3,yes,1,1,0,0,0
Australia,Kye Rowles,defender,4,yes,4,4,0,0,0
Australia,Fran Karačić,defender,5,yes,2,1,0,0,0
Australia,Marco Tilio,forward,6,no,0,0,0,0,0
Australia,Bailey Wright,defender,8,yes,1,0,0,0,0
Australia,Jamie Maclaren,forward,9,yes,3,0,0,0,0
Australia,Ajdin Hrustic,midfielder,10,yes,3,0,0,0,0
Australia,Awer Mabil,forward,11,yes,2,0,0,0,0
Australia,Andrew Redmayne,goal keeper,12,no,0,0,0,0,0
Australia,Aaron Mooy,midfielder,13,yes,4,4,0,0,0
Australia,Riley McGree,midfielder,14,yes,4,4,0,0,0
Australia,Aziz Behich,defender,16,yes,4,4,0,0,0
Australia,Cameron Devlin,midfielder,17,no,0,0,0,0,0
Australia,Danny Vukovic,goal keeper,18,no,0,0,0,0,0
Australia,Harry Souttar,defender,19,yes,4,4,0,0,0
Australia,Thomas Deng,defender,20,no,0,0,0,0,0
Australia,Garang Kuol,forward,21,yes,2,0,0,0,0
Australia,Jackson Irvine,midfielder,22,yes,4,4,0,0,0
Australia,Joel King,defender,24,no,0,0,0,0,0
Australia,Jason Cummings,forward,25,yes,1,0,0,0,0
Australia,Keanu Baccus,midfielder,26,yes,4,1,0,0,0
Belgium,Michy Batshuayi,forward,23,yes,2,2,1,0,0
Belgium,Thibaut Courtois,goal keeper,1,yes,3,3,0,0,0
Belgium,Toby Alderweireld,defender,2,yes,3,3,0,0,0
Belgium,Arthur Theate,defender,3,no,0,0,0,0,0
Belgium,Wout Faes,defender,4,no,0,0,0,0,0
Belgium,Jan Vertonghen,defender,5,yes,3,3,0,0,0
Belgium,Axel Witsel,midfielder,6,yes,3,3,0,0,0
Belgium,Kevin De Bruyne,midfielder,7,yes,3,3,0,0,0
Belgium,Youri Tielemans,midfielder,8,yes,3,1,0,0,0
Belgium,Romelu Lukaku,forward,9,yes,2,0,0,0,0
Belgium,Eden Hazard,forward,10,yes,3,2,0,0,0
Belgium,Yannick Carrasco,forward,11,yes,2,2,0,0,0
Belgium,Simon Mignolet,goal keeper,12,no,0,0,0,0,0
Belgium,Koen Casteels,goal keeper,13,no,0,0,0,0,0
Belgium,Dries Mertens,forward,14,yes,2,1,0,0,0
Belgium,Thomas Meunier,midfielder,15,yes,3,2,0,0,0
Belgium,Thorgan Hazard,midfielder,16,yes,2,1,0,0,0
Belgium,Leandro Trossard,forward,17,yes,3,1,0,0,0
Belgium,Amadou Onana,midfielder,18,yes,2,1,0,0,0
Belgium,Leander Dendoncker,defender,19,yes,2,2,0,0,0
Belgium,Hans Vanaken,midfielder,20,no,0,0,0,0,0
Belgium,Timothy Castagne,midfielder,21,yes,3,3,0,0,0
Belgium,Charles De Ketelaere,forward,22,yes,1,0,0,0,0
Belgium,Loïs Openda,forward,24,yes,1,0,0,0,0
Belgium,Jérémy Doku,forward,25,yes,1,0,0,0,0
Belgium,Zeno Debast,defender,26,no,0,0,0,0,0
Brazil,Richarlison,forward,9,yes,4,4,3,0,0
Brazil,Neymar,forward,10,yes,3,3,2,0,1
Brazil,Casemiro,midfielder,5,yes,4,4,1,0,0
Brazil,Lucas Paquetá,midfielder,7,yes,4,4,1,0,0
Brazil,Vinícius Júnior,forward,20,yes,4,4,1,0,0
Brazil,Alisson,goal keeper,1,yes,4,4,0,0,0
Brazil,Danilo,defender,2,yes,3,3,0,0,0
Brazil,Thiago Silva,defender,3,yes,4,4,0,0,0
